,multi_day,multi_night,multi_standing,single_rate,single_standing
Northern Scotland,0.3,0.133,0.601,0.242,0.59
Southern Scotland,0.284,0.133,0.625,0.232,0.613
Northern,0.283,0.123,0.689,0.226,0.691
North West,0.298,0.127,0.489,0.239,0.491
Yorkshire,0.279,0.129,0.653,0.226,0.654
N Wales and Mersey,0.306,0.133,0.649,0.247,0.65
South Wales,0.296,0.128,0.607,0.238,0.612
Southern Western,0.294,0.123,0.659,0.235,0.651
Southern,0.3,0.125,0.617,0.239,0.613
South East,0.306,0.129,0.554,0.246,0.548
Eastern,0.306,0.129,0.484,0.245,0.479
East Midlands,0.286,0.128,0.537,0.23,0.539
Midlands,0.287,0.128,0.608,0.239,0.607
London,0.311,0.131,0.387,0.25,0.387
