,0
HUMR-1,63.295833333333334
DRAXX-2,41.69857142857143
DRAXX-3,46.422812500000006
MRWD-1,65.38507577952811
DRAXX-1,49.903765182186234
DIDCB5,63.396503197877394
SPLN-1,63.295
KEAD-2,54.432912836549804
PEHE-1,73.00051351351352
DRAXX-4,55.306509803921564
LAGA-1,63.88065826330532
PEMB-51,63.13148148148147
GRAI-7,61.58150684931507
PEMB-41,63.19860239907294
LBAR-1,77.86521739130433
PEMB-31,64.28636363636363
GRAI-6,60.23866883116884
SEAB-1,73.11166666666668
PEMB-21,62.3155
CDCL-1,61.77777777777778
SHOS-1,63.57586353861193
PEMB-11,63.45143939393939
SCCL-2,73.97250000000001
GRAI-8,63.13809523809523
STAY-2,66.60409090909093
TSREP-1,87.40821252947966
WBURB-2,63.76277777777778
WBURB-3,67.67333333333333
STAY-4,67.48120255086548
RATS-3,62.23284090909091
SHBA-1,71.20666666666668
STAY-3,65.11466666666666
ROCK-1,67.41894736842104
WBURB-1,63.7634375
STAY-1,68.88
DIDCB6,71.80894736842104
EECL-1,63.546963957116574
RATS-4,65.8725641025641
SCCL-3,64.33066666666667
RATS-2,66.69105263157896
CARR-1,72.29294117647059
GYAR-1,78.3184
SCCL-1,78.92609756097562
FAWN-1,92.44359280471082
KEAD-1,82.89123893805309
SEAB-2,72.55488235294118
CARR-2,63.59523809523809
LNMTH-2,66.65300945378152
LNMTH-1,59.9219001654716
KLYN-A-1,72.22729729729731
GRMO-1,68.0
SHBA-2,72.56657352941176
MEDP-1,82.25666666666666
LNMTH-3,81.00010625
RATS-1,60.09196428571428
DAMC-1,72.95986666666666
COSO-1,67.10951388888888
CNQPS-2,77.29621621621621
MARK-1,78.37583333333333
TIBG-1,91.36346153846154
CNQPS-1,69.30570238095238
RYHPS-1,79.75502377208745
SUTB-1,66.86048449866632
CNQPS-3,79.82770917678813
SVRP-10,60.962598396501456
AG-NHAV02,68.80634615384615
CNQPS-4,68.54837500000001
SVRP-20,61.2044177310293
SEEL-1,91.63848534201954
SUDME-1,71.30376988984088
JGPR-1,70.70107142857142
FELL-1,68.0
RDFRD-1,71.14833333333333
RDFRB-1,71.34684210526316
ALCOA-1,85.0136170212766
CORB-1,53.52741797259867
DERBY-2,90.79133774319067
DBFRM-1,88.94767441860466
EXETR-2,93.59809856630824
KILLPG-1,103.05825531914893
THRNL-1,91.4952528901734
CROYD-2,93.59809856630824
MORFL-1,75.79969816922315
TRFPK-1,80.14953721666326
CHICK-1,83.47409191583611
GOSHS-1,78.01135021097048
RAKE-1,88.0361214953271
WTRLN-1,83.13608778625955
FDUNT-1,96.08461559633027
KILLPG-2,68.0
BRIDU-1,86.08429787234041
SOLUU-1,91.2368
TDRVE-1,84.97945201517003
ABERU-1,87.09478850500486
SEVIU-1,84.01627906976745
LSTWY-1,91.87305990843689
BURGH-1,100.79121621621623
CHTRY-1,92.2035702746365
PETEM1,68.0
INDQ-1,68.0
COWE2,68.0
RATSGT-4,70.28023255813955
COWE1,68.0
BSPHM-1,97.70813953488374
MDLWH-1,68.0
TAYL2G,68.0
VKING-2,68.0
RATSGT-2,64.74637181409295
TAYL3G,68.0
LBAR-1G,68.0
DIDC04G,68.0
KEADGT-3,68.0
GRAI1G,68.0
GRAI4G,68.0
DIDC02G,68.0
DIDC03G,68.0
DIDC01G,68.0
